Gallery Name,Gallery Street Address,Zip,Gallery Phone,Gallery URL,Affliliation Category
Aggregate Space Gallery,801 W Grand Ave / Entrance on West St,94607,510-832-3807,www.aggregatespace.com,Gallery
American Steel Studios,1960 Mandela Parkway / Entrance on 20th St,94607,510-776-7694,www.americansteelstudios.com,Project Space
Backstock Gallery,3231 Grand Ave,94610,510.285.6629,http://www.oakcommon.com/,Gallery
Betti Ono Gallery,1427 Broadway,94612,510-473-5919,www.bettiono.com,Gallery
Blackball Universe,230 Madison St,94607,510-433-0933,http://blackballuniverse.com/,Gallery
Chandra Cerrito Contemporary,480 23rd St,94612,510-260-7494,www.chandracerritocontemporary.com,Gallery
Classic Cars West,411 26th St,94612,415-626-1135,www.classiccarswest.com,Gallery
Creative Framing and Gallery,2700 Park Blvd,94606,510-482-1200,www.creativeframingoakland.com,Gallery
Creative Growth Art Center,355 24th St,94612,510-836-2340 x15,www.creativegrowth.org,Gallery
Farley's East,33 Grand Ave,94612,510-835-7898,www.farleyscoffee.com,Affiliated Retailer
Field Day and Friends,329 19th Street ,94612,510-338-6624,www.fielddayandfriends.com,Affiliated Retailer
FM,483 25th St,94612,(510)390-4514,www.fmoakland.com,Gallery
FLOAT Art Gallery,1091 Calcot Pl #116,94606,510 535 1702,http://thefloatcenter.com/current.html,Gallery
FOUND on Piedmont,4125 Piedmont Ave,94611,510.420.8900,www.foundonpiedmont.com,Affiliated Retailer
Gray Loft Gallery,"2889 Ford Street, 3rd Floor",94601,510-499-3445,www.grayloftgallery.com,Gallery
"Great Wall of Oakland, The",Grand & Valley,94612,510-464-2929,www.greatwallofoakland.org,Project
Interface Gallery,486 49th Street,94609,1-415-990-8028,http://interfaceartgallery.com/,Gallery
Johansson Projects,2300 Telegraph Ave,94612,510-444-9140,www.johanssonprojects.com,Gallery
Joyce Gordon Gallery,406 14th St.,94612,510-465-8928,www.joycegordongallery.com,Gallery
Krowswork,480 23rd St - side entrance,94612,510-229-7035,www.krowswork.com,Gallery
LeQuiVive Gallery,1525 Webster Street,94610,510-499-1789,www.lequivivegallery.com,Gallery
LuckLo Art Gallery & Boutique,560 2nd St.,94607,(510)747-9957,www.lucklo.com,Gallery
Magnolia Editions,2527 Magnolia St,94607,(510) 834-2527,www.magnoliaeditions.com,Project Space
Manna Gallery,473 25th St,94612,510-536-7559,www.mannagallery.com,Gallery
Marion and Rose's Workshop,461 9th St.,94607,510-214-6794,www.marionandrose.com,Affiliated Retailer
Mercury 20 Gallery,475 25th St,94612,510-701-4620,www.mercurytwenty.com,Gallery
The New Parkway,474 24th St,94612,510-338-3228,www.thenewparkway.com,Affiliated Retailer
Oakopolis / The Moon,447 25th St,94612,510-663-6920,www.oakopolis.org,Gallery
Oakstop,1721 Broadway,94612,510-698-9370,www.oakstop.com,Gallery
Omi Gallery at Impact Hub Oakland,2323 Broadway,94612,303-260-9209,www.oakland.impacthub.net,Gallery
PHOTO,473 25th St. Suite A,94612,510.858.7352,www.photogalleryoakland.com,Gallery
Pro Arts,150 Frank H. Ogawa Plaza,94612,510-763-4361,www.proartsgallery.org,Gallery
Rock Paper Scissor Collective,2278 Telegraph Ave,94612,510-238-9171,www.rpscollective.org,Gallery
Roscoe Ceramic Gallery,"473 25th St., Suite 5",94612,415-515-3174,www.roscoeceramicgallery.com,Gallery
Royal Nonesuch Gallery,4231 Telegraph Ave,94609,415-652-1623,www.royalnonesuchgallery.com,Gallery
Shadravan's Studio,2435 Telegraph Ave.,94612,415-335-8152,shadravansgallery.com,Project Space
SLATE contemporary,"473 25th St., Suite E",94612,510-652-4085,www.slatecontemporary.com,Gallery
SoleSpace,1714 Telegraph Ave,94612,415-225-6673,www.solespace.com,Affiliated Retailer
Spun Smoke,2440-A Telegraph Ave,94612,510-419-0685,www.spunsmoke.com,Affiliated Retailer
Studios 11,560 2nd Street,94607,510-508-2165,https://www.facebook.com/pages/Studios-Eleven/544277212259981,Gallery
Thelma Harris Art Gallery,5940 College Ave,94618,510-654-0443,thelmaharrisartgallery.com,Gallery
Transmission Gallery ,770 West Grand Ave,94612,510-835-2626,www.thetransmissiongallery.com,Gallery
Uptown ArtPark,Telegraph at 19th ,94612,510-238-4949,www.oaklandnet.com,Project Space
Vessel Gallery,471 25th St,94612,510-893-8800,www.vessel-gallery.com,Gallery
The Wall Gallery,473 25th St.,94612,510-282-0412,thewallgallery.blogspot.com,Gallery
Warehouse 416,416 26th St,94612,510-922-1653,www.warehouse416.com,Gallery
