Project Name,Artist Name,Artist Location,Year,Temporary / Permanent,Interior / Exterior,Media,Media Detail,Location (District/Neighborhood),Location (Address)
Gateway to Knowledge,Ed Cassel,"Alameda, CA",1978,permanent,exterior,Mural(s),acrylic mural,"Oakland Main Public Library, 125 - 14th St.,
Oakland, CA
(37.80125934792801, -122.26349285059729)","Oakland Main Public Library, 125 - 14th St.,"
Welcome Home Boys,Ralph Fasanella,,1990,permanent: purchase as part of Public Domain Project,interior,Painting,Oil on canvas,"Oakland Main Public Library 125 - 14th Street,
Oakland, CA
(37.80125934792801, -122.26349285059729)","Oakland Main Public Library 125 - 14th Street,"
Empty Chairs / Missing Persons,Kati Casida,,1991,temporary,exterior,Sculpture,"150 chairs, green ribbon","Greek Orthodox Church of the Ascension, 4700 Lincoln Avenue
Oakland, CA
(37.81037117066563, -122.20071875633192)","Greek Orthodox Church of the Ascension, 4700 Lincoln Avenue"
Words by Road,Seyed Alavi,Oakland,1991,temporary,exterior,Mural(s),murals,"Interstate 580 underpasses at MacArthur Blvd., High St., Fruitvale Ave., and Park
Oakland, CA
(37.80505999961946, -122.27301999967312)","Interstate 580 underpasses at MacArthur Blvd., High St., Fruitvale Ave., and Park"
Binding Ties,Stephanie A. Johnson,,1991,temporary,exterior,Video installation,,"Southern Pacific 16th Street Station,
Oakland, CA
(37.80505999961946, -122.27301999967312)","Southern Pacific 16th Street Station,"
Earth Maze,Alex Champion,,1992,long term temporary,exterior,Installation-Earthwork,"Earth, grass, basalt key","Oakland&rsquo;s Lakeside Park,
Oakland, CA
(37.80505999961946, -122.27301999967312)","Oakland’s Lakeside Park,"
Joaquin Miller Community Center Fireplace,Martha Heavenston,Oakland,1992,permanent,interior,,"Portland cement, clay, ceramic tile, glaze","Joaquin Miller Community Center, 3594 Sanborn Drive
Oakland, CA
(37.80505999961946, -122.27301999967312)","Joaquin Miller Community Center, 3594 Sanborn Drive"
Joaquin Miller Community Center Doors and Skylights,Carl Powell,North Carolina,1992,permanent,interior,architecturally integrated glass,glass,"Joaquin Miller Community Center, 3594 Sanborn Drive
Oakland, CA
(37.80505999961946, -122.27301999967312)","Joaquin Miller Community Center, 3594 Sanborn Drive"
Untitled,Narcissus Quagliata,,1992,permanent,interior,Glass,"Stained, beveled, leaded glass; blown glass","1428 Alice Street, Downtown/City Center.
Oakland, CA
(37.80505999961946, -122.27301999967312)","1428 Alice Street, Downtown/City Center."
"ARS, VITA, SPIRTU",David Hisaya Asari,Oakland,1992,long term temp,exterior,20’ x 4’ (6 banners),Silkscreen on vinyl,"1428 Alice Street, Downtown/City Center.
Oakland, CA
(37.80505999961946, -122.27301999967312)","1428 Alice Street, Downtown/City Center."
